name	team_name
rockdove in the monorail	Platform Services
snowflake in the monorail	Platform Services
user_reputations_service in the monorail	Platform Services
TFlock	data services
hadoop test	Manhattan/Cassandra
wtf in the monorail	Platform Services
talon in the monorail	Platform Services
scarecrow	Anti-Spam
activity in the monorail	Platform Services
Swiftlet Delete failures	Platform Services
Hosebird Avail	Platform Services
growth stats	Growth
BB	Datacenter
SMF1 TweetyPie	Platform Services
Blocks	Platform Services
Rao's Haplo Test	Runtime Systems
photurkey in the monorail	Platform Services
trends_client in the monorail	Platform Services
activity memcached in the monorail	Platform Services
counter memcached in the monorail	Platform Services
fragment memcached in the monorail	Platform Services
lookaside memcached in the monorail	Platform Services
magic memcached in the monorail	Platform Services
object memcached in the monorail	Platform Services
page memcached in the monorail	Platform Services
rate memcached in the monorail	Platform Services
trends memcached in the monorail	Platform Services
united memcached in the monorail	Platform Services
user memcached in the monorail	Platform Services
timelineservice in the monorail	Platform Services
timeline rendering in the monorail	Platform Services
DaemonSlayer Daemons	Platform Services
Rainbird Aggregator	Platform Services
upload cluster in the monorail	SRE
Haplocheirus Misc	Platform Services
check_key_metrics	Build & Release
Agent Tools	Trust and Safety - Engineering
Scribe	Public
Scribe Overload (slow)	Public
Scribe Revenue	Public
Dev	Demand Services
tbird queries in the monorail	Platform Services
Scribe SpiderDuck	Public
Scribe (testing changes, ignore)	Public
audubon.role.dedicated-ratelimit-cache	Runtime Systems
audubon.role.misc-small-cache	Runtime Systems
audubon.role.misc-cache	Public
audubon.role.misc-cache3	Runtime Systems
Platform Metrics 	Demand Services
agn-13 ags-33	Datacenter
Direct Message Load	Platform Services
home timeline in the monorail	Platform Services
home timeline in the monorail	Demand Services
connections	Platform Services
Gizmoduck User Cache	Platform Services
Phase 1 Canary	Operations Engineering
TFE Test Viz	Network Engineering
Scribe Backtype	Public
chickadee	Runtime Systems
Cassowary Service Main	Public
Cassowary Service Main	Public
Cassowary Databases	User Discovery
Cassowary DB Write Stats	User Discovery
Cassowary DB Read Stats	User Discovery
Cassowary Stats Per Algorithm (0-20)	User Discovery
Cassowary Stats Per Algorithm (21-40)	User Discovery
Scribe Twitterweb	Public
Cassandra - addressbook-cassandra	Manhattan/Cassandra
Cassandra - inference-cassandra	Manhattan/Cassandra
Cassandra - rainbird-cassandra	Manhattan/Cassandra
Thumbingbird	Platform services
Cassowary Fetcher Stats	User Discovery
audubon.role.activity.cache	Runtime Systems
Hosts per SLB	Build & Release
Power	Datacenter
rao timeline canary	Runtime Systems
audubon.role.ads-memcache	Runtime Systems
audubon.role.appsrvc.cache	Runtime Systems
audubon.role.timeline-cache	Runtime Systems
Story Service	Trends
Workload (aka Internet Numbo-Tron 3000)	Hardware Eng & Demand Svcs
FZ Test	Runtime Systems
haplocheirus - main	Platform Services
twemcache::ads.11221	Revenue Eng & Product
twemcache::ads.11222	Revenue Eng & Product
SMF1 TweetyPie Staging	Platform Services
haplo misc - redis	Platform Services
haplo main - redis	Platform Services
haplocheirus - misc	Platform Services
Twitterweb MonorailExceptions	Demand Services
Rainbird Query Service	Platform Services
Cache	Demand Services
Parrot_loadtest	Runtime Systems
Search Assistance	Search
haplocheirus - main	Platform Services
memcache_test	Platform Services
Template	Runtime Systems
darkwing	Data Services
SMF1 TweetyPie Canary	Platform Services
TypeAheadForGrowth	User Discovery
audubon.role.misc.cache4	Runtime Systems
Sam's Dashboard	Platform Services
SMS/Push Twemcache Pool	Mobile
Gizmoduck - Monorail Integration	Core Services
top-line (formerly tweet_write_path)	TCC
Observe::Cuckoo::Node	Runtime Systems
Observe Template	Hardware Engineering & Delivery
timelineservice debug	Runtime Systems
Vex Memory Bandwidth	Runtime Systems
arya debugging	Platform Services
Budgie	Platform Services
d_mobile_500s	TCC
TestFlockCpu	Build & Release
zookeeper ensemble role:configuration	Coordination
twemcache::ads.no.evict	Revenue Eng & Product
Beetle Power	Hardware Engineering & Delivery
usersearch	User Discovery
Parag's Spend Hack	Revenue Eng & Product
Discovery, Internal Search & Facets	Platform Services
observe-790	Runtime Systems
Core Services	Build & Release
templatation	Platform Services
templatation	Platform Services
TFE Site Health	TCC
d_TFE_Status_Response	TCC
Request Latencies	Build & Release
Mobile JP	Mobile
Bananaquit FE	growth
Cassandra - cuckoo-cassandra	Manhattan/Cassandra
Mobile Web	Mobile
self-unsuspend	Anti-Spam
Incoming SMS	Mobile-Messaging
Thrift Latencies	Build & Release
Timeline Cache	Demand Services
Memcache Misses	Build & Release
Time to first tweet (home page)	Web
Woodstar (Staging)	API Core
Woodstar (Employee Release)	Platform Services
Woodstar (Production)	API Core
Spend Kestrel	Revenue Eng & Product
Time to first tweet (home page, slow)	Web
dbs test	Manhattan/Cassandra
timeline health	Platform Services
Direct Message Votes	Platform Services
Europe TTFT	Web
uk os test	Web
Counts	Build & Release
SMF1 - Spend Server (ads.spendserver-staging)	Revenue Eng & Product
Postfix	Operations Engineering
SMF1 - Spend Server (ads.spendserver)	Revenue Eng & Product
Mobile Web Kernel Canary	Mobile
phishy_blank_unicode_tweets	Security
Decompounder	Revenue Eng & Product
Cassandra - cassandra.prod.backtype	Manhattan/Cassandra
Cassandra - cassandra.prod.geo	Manhattan/Cassandra
Stephan Test	Platform Services
mysql overview	DBA
T1 Mobile Unlock	Platform Services
Budget Throttling	Revenue Eng & Product
Cassowary Unsuitable Users Memcache	User Discovery
TESTTEST	Public
Gizmoduck Staging Load Test	Core Services
Gizzard RVP	Search
Read Path CPU	Demand Services
Social Graph	Demand Services
Woodstar (Canary)	API Core
Latency and RPS	Platform Services
Outbound Bandwidth	Build & Release
cache evictions	TCC
Tweet Embed Metrics	Platform
mysql connections	DBA
mysql queries	DBA
mysql replication	DBA
mysql innodb logs	DBA
mysql innodb rows	DBA
mysql innodb pages	DBA
mysql storage	DBA
mysql network	DBA
mysql cpu	DBA
Dropped Packets	Build & Release
Bits Per Second Sent	Build & Release
Hosebird Cache	Anti-Spam
spiderduck in the monorail	Platform Services
spiderduck in the monorail	Platform Services
mysql transactions	DBA
Rockdove	Platform Services
TTC	International Engineering
Database Queries	Build & Release
Gizmoduck/Darkwing/Monorail Migration Dashboard	Core Services
Cassandra - cassandra.prod.bigbrotherbird	Manhattan/Cassandra
Preflight	Build & Release
User Reputation Table Builder - SFM1	Search
Ingester	Search
TPS	Analytics
Queue Sizes	Build & Release
RPS	Demand Services
Mobile Web Canary Stats	Mobile
Cassowary Memcached	User Discovery
Adserver ThriftStore	Revenue Eng & Product
Observe::Cost	Runtime Systems
Cassowary Compute Memcached	User Discovery
Hot Hadoops	Hardware Engineering & Delivery
Cassandra - cassandra.prod.unallocated	Manhattan/Cassandra
Network Stories Blender Workflow	Trends
Passbird Canary	Platform Services
test	Demand Services
Sniper firehose partitioner	Anti-Spam
Sniper processor	Anti-Spam
Scribe by Category (agg)	SRE
Twitterweb Capacity Calc	Demand Services
super fluffy bunnies	Runtime Systems
Test Rack	Hardware Engineering & Delivery
Woodstar (Viz Test)	API Core
Caps Lock On Password	Security
Ad impressions	Revenue Eng & Product
Profiles	Platform Services
photurkey_vitals	Platform Services
Observe::Cuckoo::Staging	Runtime Systems
Passbird Staging	Platform Services
User Typeahead	Search
Scribe-Loadtest Dashboard	Operations Engineering
easyviz test	Runtime Systems
Cassandra - cassandra.devel.blobstore	Manhattan/Cassandra
Cassandra - cassandra.prod.chubbysnipe	Manhattan/Cassandra
Cassandra - cassandra.prod.tweetbutton	Manhattan/Cassandra
TPS Everywhere	TCC
Cassandra - cassandra-console	Manhattan/Cassandra
Cassandra - cassandra.prod.reserve	Manhattan/Cassandra
Peacock	Revenue Eng & Product
Scribe Adserver	Operations Engineering
Cassowary Test Page	User Discovery
Cassowary Test Page	User Discovery
Cassowary Test Page	User Discovery
Cassowary Test Page	User Discovery
Ads General Memcache Pool	Revenue Eng & Product
Cassowary Service Main	User Discovery & Personalization
Rufous	Platform services
Cassowary Sarus	User Discovery & Personalization
Cassowary Compute Forward	User Discovery & Personalization
Cassowary Compute Reverse	User Discovery & Personalization
Cassandra - cassandra.prod.maverick	Manhattan/Cassandra
Cassandra - cassandra.prod.sniper	Manhattan/Cassandra
Cassowary Service Main	User Discovery & Personalization
Tweet Ecosystem	Platform Services
Cassowary db slave	User Discovery & Personalization
Birdherd - High Latency	Platform Services
service success rate	Platform Services
RX Drops (samya)	Runtime Systems
test1	Runtime Systems
Observe::Koalabird::Staging	Runtime Systems
Observe::Koalabird::Prod	Runtime Systems
Feature Server Memcache Pool	Revenue Eng & Product
David Test	Platform Services
finagle-performance	Runtime Systems
test kernel update	Operations Engineering
jay-test1	TCC
Cassowary PAc stats	User Discovery & Personalization
Cassowary db master	User Discovery & Personalization
Cassandra - cassandra.prod.tweetdeck	Manhattan/Cassandra
Cassandra - cassandra.prod.boomer	Manhattan/Cassandra
Cassandra - cassandra.prod.spiderduck	Manhattan/Cassandra
kernel_canary	Build & Release
kernel_canary	Build & Release
Bytes per request	Platform Services
SMS/Push Scribe	Mobile
Observe::Reads	Runtime Systems
release-display	Build & Release
User Health	Core Services
twitter-daemons	Platform Services
Gizzard Capacity	Hardware Eng & Demand Svcs
Adserver in Monorail	Revenue Eng & Product
 Kernel Canary Twitterwebs	Runtime Systems
backtype.kestrel	Revenue Eng & Product
metrics	TCC
Strategic_metrics_tcc	TCC
dm-poll	Web
Mobile Impressions & Engagements	Revenue Eng & Product
backtype.elephantdb	Revenue Eng & Product
backtype	Revenue Eng & Product
Manhattan - cassandra.prod.manhattan-test	Manhattan/Cassandra
Kernel version	operations engineering
api.twitter.com	Demand Services
Manhattan - manhattan.prod.frontend	Manhattan/Cassandra
SMF1 TweetyPie GC	Platform Services
Revenue Traffic Quality	Revenue Eng & Product
Site Traffic	Hardware Eng & Demand Svcs
Spiderduck Notification Reader	Anti-Spam
Manhattan - manhattan.prod.starbuck old	Manhattan/Cassandra
SMF1 TweetyPie Staging Backend	Platform Services
Memory Leak Tracking	Trends
Cassandra - cassandra.prod.blobstore	Manhattan/Cassandra
Cassandra - cassandra.prod.imageproxy	Manhattan/Cassandra
SMF1 TweetyPie Staging GC	Platform Services
SMF1 TweetyPie Backend	Platform Services
SMF1 TweetyPie Canary Backend	Platform Services
SMF1 TweetyPie Canary GC	Platform Services
Site Traffic 2 - Work In Progress	Demand Services
self-unsuspend-test	Public
rc - Talon DB reads writes	TCC
Password Reset	Security
swift-discover	Web
Cassowary Service Misc	User Discovery & Personalization
Rainbird Integrity Checker	Platform Services
SMF1 TweetyPie Staging Clients	Platform Services
SMF1 TweetyPie Clients	Platform Services
SMF1 TweetyPie Canary Clients	Platform Services
TFE sums	TCC
misc-small-cache-wtf?	TCC
Cassowary Service Main	User Discovery & Personalization
Crash::mycaw	Runtime Systems
Crash::mccv_macaw	Platform Services
Crash::capotej_macaw	Platform Services
Crash::rao_macaw	Runtime Systems
Crash::gregc_macaw	Runtime Systems
Manhattan - manhattan.prod.athena	Manhattan/Cassandra
haplo trouble shooting atla-aby-08-sr4	Platform Services
Hadoop - EXP cluster	Manhattan/Cassandra
Hadoop - EXP cluster overview	Manhattan/Cassandra
Hadoop - DW cluster overview	Core storage & database engineering
Cassandra - cassandra.prod.playground	Manhattan/Cassandra
discover swift	Web
Swoop Performance	Build & Release
success rate	Demand Services
Mesos ZooKeeper	Runtime Systems
oxpecker	Manhattan/Cassandra
Haplo3 Kernel Upgrade	Platform Services
Haplo1 Kernel Upgrade	Platform Services
CPU Util	Hardware Engineering & Delivery
CPU Utilization	Runtime Systems
rc - Success rate playground	TCC
TCC Internal Services	TCC
Thrift Exceptions	Build & Release
marius' fake dashboard	Runtime Systems
Hadoop - HBase DW cluster overview	Core storage & database engineering
tcc-jptest	TCC
